solarRadiation,epoch,winddir,humidity,metric_temp,metric_windSpeed,metric_windGust,metric_pressure,metric_precipRate,metric_precipTotal
105.6,1759244399,86,54,19,5,8,1017.27,0.0,0.0
49.5,1759244761,103,56,19,0,0,1017.27,0.0,0.0
49.0,1759245119,55,56,19,3,5,1017.61,0.0,0.0
47.9,1759245479,70,57,19,0,0,1017.61,0.0,0.0
42.4,1759245839,90,56,19,3,7,1017.61,0.0,0.0
39.5,1759246199,161,54,18,1,5,1017.61,0.0,0.0
